"Prisijungimo vardas";"Paskyra aktyvi";"ID";"Rodomas vardas";"Vardas";"Pavardė";"Pareigos";"Klasė";"Organizacija";"Biuras";"Miestas";"Šalis";"Darbuotojo ID";"Darbuotojo tipas";"Šaltinis";"Veiksmai";"MR_Pavardė_vardas";"MR_Gimimo_data";"MR_Lytis";"MR_Bylos Nr.";"MR_Klasė"
"sirtautas.tretickas@eportfelis.net";"True";"30592b2a-3c87-426c-9888-869c34e72788";"Sirtautas Tretickas";"Sirtautas";"Tretickas";"3b klasės mokinys";"3b klasė";"Elektroninio portfelio bandymų mokykla";"2022-2023";"Kaunas";"Lithuania";;;"M365+MR";"Atnaujinti";"TRETICKAS SIRTAUTAS";"2015-03-04";"vyras";"T-3";"4a"
"mirga.tretminaite@eportfelis.net";"True";"2b0055c4-fa32-408a-9e81-0cbd0ab6bfdd";"Mirga Tretminaitė";"Mirga";"Tretminaitė";"3b klasės mokinė";"3b klasė";"Elektroninio portfelio bandymų mokykla";"2022-2023";"Kaunas";"Lithuania";;;"M365+MR";"Atnaujinti";"TRETMINAITĖ MIRGA";"2015-04-05";"moteris";"T-4";"4b"
"girstautas.ketvirtaitis@eportfelis.net";"True";"454c6a6b-d672-4a87-b652-1095bf6787fc";"Girstautas Ketvirtaitis";"Girstautas";"Ketvirtaitis";"4a klasės mokinys";"4a klasė";"Elektroninio portfelio bandymų mokykla";"2022-2023";"Kaunas";"Lithuania";;;"M365";"Deaktyvuoti";"";"";"";"";""
"germina.ketvirtokaite@eportfelis.net";"True";"d48ae280-4224-4f97-a0c8-71fe34a00a24";"Germina Ketvirtokaitė";"Germina";"Ketvirtokaitė";"4a klasės mokinė";"4a klasė";"Elektroninio portfelio bandymų mokykla";"2022-2023";"Kaunas";"Lithuania";;;"M365";"Deaktyvuoti";"";"";"";"";""
"germantas.ketvirtickas@eportfelis.net";"True";"2599a811-d1b6-4e67-bc53-3600e1a5efce";"Germantas Ketvirtickas";"Germantas";"Ketvirtickas";"4b klasės mokinys";"4b klasė";"Elektroninio portfelio bandymų mokykla";"2022-2023";"Kaunas";"Lithuania";;;"M365";"Deaktyvuoti";"";"";"";"";""
"rozalija.ketvirtinaite@eportfelis.net";"True";"92d80498-5692-4ede-b147-fdbfafc21c0c";"Rozalija Ketvirtinaitė";"Rozalija";"Ketvirtinaitė";"4b klasės mokinė";"4b klasė";"Elektroninio portfelio bandymų mokykla";"2022-2023";"Kaunas";"Lithuania";;;"M365";"Deaktyvuoti";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"NAUJAPIRMAITIS ERDENIS";"2018-01-11";"vyras";"N-1";"1a"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"NAUJAPIRMOKAITĖ DINGAILĖ";"2018-02-12";"moteris";"N-2";"1a"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"NAUJAPIRMICKAS LAURYNAS";"2018-03-13";"vyras";"N-3";"1b"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MR";"Sukurti";"NAUJAPIRMINAITĖ JUSTINA";"2018-04-14";"moteris";"N-4";"1b"
